ExperimentID,Birds,ActiveFlowers,NectarCollected,FlowersDepleted,DurationSeconds,CrowdingDistance,CrowdingEvents,CrowdingPairTime,CrowdingRatio,MaxSimultaneousCrowdedPairs
5B_20F,5,20,16.0003,16,95.62,0.50,22,687.80,0.7193,10
5B_20F,5,20,20.0004,20,80.38,0.50,10,169.60,0.2110,4
5B_15F,5,15,20.0004,20,119.78,0.50,37,1002.08,0.8366,10
5B_15F,5,15,0.0000,0,0.00,0.50,0,0.00,0.0000,0
5B_15F,5,15,0.0000,0,0.00,0.50,0,0.00,0.0000,0
5B_15F,5,15,0.0000,0,0.00,0.50,0,0.00,0.0000,0
5B_15F,5,15,0.0000,0,0.00,0.50,0,0.00,0.0000,0
5B_15F,5,15,9.6901,9,18.68,0.50,3,17.54,0.0939,1
5B_15F,5,15,15.0003,15,63.38,0.50,20,168.01,0.2651,10
5B_10F,5,10,10.0001,10,66.33,0.50,21,208.73,0.3147,10
5B_05F,5,5,5.0000,5,26.36,0.50,5,50.01,0.1897,4
